project_id,deployment_id,image_id,sequence_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,age,sex,animal_recognizable,individual_id,number_of_objects,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,fuzzed,deployment_fuzzed
2004805,dcd7cc11-08c0-4e56-adac-c72dc41bb4c6,0f3e3d15-6653-4017-af50-3f937d2b8080,,PTDC03962021-12-27 18-35-30.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/0f3e3d15-6653-4017-af50-3f937d2b8080,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Mon Dec 27 2021 18:35:31 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,361def5a-c27f-4fda-88d4-1a195aba2912,,PTDC00532022-02-15 08-28-58.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/361def5a-c27f-4fda-88d4-1a195aba2912,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Tue Feb 15 2022 08:28:58 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,3f693c99-6b74-44be-9410-ba9529109851,,PTDC00452022-01-25 11-47-30.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/3f693c99-6b74-44be-9410-ba9529109851,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Tue Jan 25 2022 11:47:29 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,0de65c09-8d37-4e5c-8148-052050905568,,PTDC00972022-03-08 08-51-46.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/0de65c09-8d37-4e5c-8148-052050905568,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Tue Mar 08 2022 08:51:46 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,dff7054a-0904-46bc-b76f-f253151a8bbe,,PTDC01012022-03-10 21-27-02.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/dff7054a-0904-46bc-b76f-f253151a8bbe,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Thu Mar 10 2022 21:27:02 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,01f756b5-ebd2-4216-9ab3-c59e43249c75,,PTDC01352022-03-26 21-29-02.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/01f756b5-ebd2-4216-9ab3-c59e43249c75,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Sat Mar 26 2022 21:29:02 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,0f11265a-c38c-4619-bbd1-4fbf647cba4f,,PTDC02792022-05-02 16-36-10.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/0f11265a-c38c-4619-bbd1-4fbf647cba4f,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Mon May 02 2022 16:36:10 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,28bc71f4-aba6-4bb2-b576-cebdeab75a7f,,PTDC00512022-02-14 19-39-44.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/28bc71f4-aba6-4bb2-b576-cebdeab75a7f,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Mon Feb 14 2022 19:39:43 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,580cffa1-019a-4353-99c3-c6bfe3f7ed49,,PTDC02932022-05-03 19-29-52.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/580cffa1-019a-4353-99c3-c6bfe3f7ed49,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Tue May 03 2022 19:29:53 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
2004805,74e602f8-0c47-4917-8976-79a88c4c763a,13a001ed-5ff9-47b9-8c7f-d29affafaee6,,PTDC05382022-07-03 22-08-02.JPG,https://app.wildlifeinsights.org/download/2020339/project/2004805/data-files/13a001ed-5ff9-47b9-8c7f-d29affafaee6,,Bilguun Batkhuyag,07153810-54e6-4a5c-85a4-1968d82def4c,Mammalia,Carnivora,Felidae,Panthera,uncia,Snow Leopard,,Sun Jul 03 2022 22:08:02 GMT+0000 (Coordinated Universal Time),,,,,1,,,false,,,CC0,true,false
