project_id,deployment_id,image_id,sequence_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,age,sex,animal_recognizable,individual_id,number_of_objects,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,fuzzed,deployment_fuzzed
2006623,TNC- D06,647711e7-1bb7-4425-b065-2f023a5cfa93,,09020094.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/647711e7-1bb7-4425-b065-2f023a5cfa93,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Sat Sep 02 2023 07:06:46 GMT+0000 (Coordinated Universal Time),adult,male,,,1,,,false,,,CC0,false,false
2006623,TNC- D06,647711e7-1bb7-4425-b065-2f023a5cfa93,,09020094.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/647711e7-1bb7-4425-b065-2f023a5cfa93,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Sat Sep 02 2023 07:06:46 GMT+0000 (Coordinated Universal Time),juvenile,female,,,3,,,false,,,CC0,false,false
2006623,TNC- D06,b2d75f45-a04d-4406-adef-6c832b38f16a,,09030101.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/b2d75f45-a04d-4406-adef-6c832b38f16a,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Sun Sep 03 2023 06:16:06 GMT+0000 (Coordinated Universal Time),adult,male,,,1,,,false,,,CC0,false,false
2006623,TNC- D06,b2d75f45-a04d-4406-adef-6c832b38f16a,,09030101.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/b2d75f45-a04d-4406-adef-6c832b38f16a,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Sun Sep 03 2023 06:16:06 GMT+0000 (Coordinated Universal Time),juvenile,female,,,3,,,false,,,CC0,false,false
2006623,TNC- D06,d82cf536-629e-4b4b-8696-62fb6cf46e0c,,09180285.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/d82cf536-629e-4b4b-8696-62fb6cf46e0c,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Mon Sep 18 2023 17:05:03 GMT+0000 (Coordinated Universal Time),adult,male,,,1,,,false,,,CC0,false,false
2006623,TNC- D06,d82cf536-629e-4b4b-8696-62fb6cf46e0c,,09180285.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/d82cf536-629e-4b4b-8696-62fb6cf46e0c,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Mon Sep 18 2023 17:05:03 GMT+0000 (Coordinated Universal Time),juvenile,female,,,3,,,false,,,CC0,false,false
2006623,TNC- D06,0af20e0d-4caa-4fd8-b466-d54de0ddded1,,10050312.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/0af20e0d-4caa-4fd8-b466-d54de0ddded1,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Thu Oct 05 2023 02:08:34 GMT+0000 (Coordinated Universal Time),adult,male,,,1,,,false,,,CC0,false,false
2006623,TNC- D06,0af20e0d-4caa-4fd8-b466-d54de0ddded1,,10050312.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/0af20e0d-4caa-4fd8-b466-d54de0ddded1,,M. Baasandorj,db570f53-566b-4234-80f6-3af4026f6b12,Mammalia,Cetartiodactyla,Bovidae,Ovis,ammon,Argali,,Thu Oct 05 2023 02:08:34 GMT+0000 (Coordinated Universal Time),juvenile,female,,,3,,,false,,,CC0,false,false
2006623,TNC- D06,9f485147-4a0d-4ef5-a646-e969902c1e5c,,11020386.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/9f485147-4a0d-4ef5-a646-e969902c1e5c,,M. Baasandorj,3e4fac86-1e90-403c-b798-c20a93df373c,Mammalia,Cetartiodactyla,Cervidae,Cervus,canadensis,Domestic Elk,,Thu Nov 02 2023 12:12:42 GMT+0000 (Coordinated Universal Time),unknown,male,,,1,,,false,,,CC0,false,false
2006623,TNC- D06,4a19c896-f2e1-4a9e-846f-9a564107a838,,11020393.JPG,https://app.wildlifeinsights.org/download/2020614/project/2006623/data-files/4a19c896-f2e1-4a9e-846f-9a564107a838,,M. Baasandorj,ee8d5a89-f82e-4323-80e2-0ffc9487ebaf,Mammalia,Carnivora,Canidae,Canis,lupus,Grey Wolf,,Thu Nov 02 2023 12:19:39 GMT+0000 (Coordinated Universal Time),adult,unknown,,,1,,,false,,,CC0,false,false
